report_id,path,title,phase,date,class,status,sha256
phase38-00-master,generated/phase38-00-master.md,Phase 38 Master Orchestrator — Execution Summary and Phase 39 Roadmap,38,2026-08-25,GENERATED-AUDIT,PARTIAL,94a67bdc8313efdcc87b0acdd7f70a74ff4b0ef13839d84ead92f7e0690d9059
phase38-01-preflight,generated/phase38-01-preflight.md,Phase 38 Preflight — System State Snapshot,38,2026-08-25,GENERATED-AUDIT,COMPLETE,bb4eabf630aba89cb50aacc649d033d8476665264bff008a8a1caf2592cb2ce7
phase38-02-change-register,generated/phase38-02-change-register.md,Phase 38 Change Register — Gates and Approval Requirements,38,2026-08-25,GENERATED-AUDIT,COMPLETE,77893b88930f94b1b787135d01272e36702b25aa2879b8ed833ca5bee77d4d09
phase38-03-report-root-discovery,generated/phase38-03-report-root-discovery.md,Phase 38 Report Root Discovery — Canonical and Approved Paths,38,2026-08-25,GENERATED-AUDIT,COMPLETE,ab146b57ba350fa69e56905e65bf1e8dccd8c610a7f5a9ccc6bbeecf9db6aa5b
phase38-04-report-inventory,generated/phase38-04-report-inventory.md,Phase 38 Report Inventory — Complete File Catalog,38,2026-08-25,GENERATED-AUDIT,COMPLETE,986a3790309529cfd3ae37e2f83165d9b8f7ef3aaffe7c1e9400b56ea93867ff
phase38-05-report-hash-duplicates,generated/phase38-05-report-hash-duplicates.md,Phase 38 Report Hash Duplicates — SHA-256 Analysis,38,2026-08-25,GENERATED-AUDIT,COMPLETE,a68b1126d10589041b71b2c6f2330ac8f8af55440d996b5614bdfef5b1210a0d
phase38-06-report-near-duplicates,generated/phase38-06-report-near-duplicates.md,Phase 38 Report Near-Duplicates — Similarity Analysis,38,2026-08-25,GENERATED-AUDIT,COMPLETE,fabeca7c8fe07d79a2974ae497df49a54d83ec853ffaefea4ec35fee441921e1
phase38-07-report-schema,generated/phase38-07-report-schema.md,Phase 38 Report Schema — Required Metadata Definition,38,2026-08-25,AUTHORITATIVE-CURRENT (schema domain),COMPLETE,6358f6b1952920d8811ba186fe3757c2e4c6a7a3d08eb5087a75242bfe03c6cd
phase38-08-status-taxonomy,generated/phase38-08-status-taxonomy.md,Phase 38 Status Taxonomy — Normalized Status Values and Transition Rules,38,2026-08-25,AUTHORITATIVE-CURRENT (schema domain),COMPLETE,ae3b54fee352c68876cc8c8c06535a034b69386fdf978e55cbaa780369e50be9
phase38-09-claim-schema,generated/phase38-09-claim-schema.md,Phase 38 Claim Schema — Claim Definition and Verification Framework,38,2026-08-25,AUTHORITATIVE-CURRENT (schema domain),COMPLETE,37980d8dc4ac9c9ce11771c8102de83cfe03c7fe10d1e0b511e618011e7f8214
